Date,GRA Purchases,PRGT 1/2/,Totals,Year,SDR:$,Totals$,Global GDP,Total/GDP,as a %
08/31/2022,93769635059,15254184552,1.09E+11,2022,1.27988,1.40E+11,1.03496E+14,1.35E-03,1.35E-01
12/31/2021,89474552025,14554823681,1.04E+11,2021,1.39959,1.46E+11,9.70763E+13,1.50E-03,1.50E-01
12/31/2020,93408630285,12481816684,1.06E+11,2020,1.44027,1.53E+11,8.54407E+13,1.78E-03,1.78E-01
12/31/2019,66945509865,6590835450,73536345315,2019,1.38283,1.02E+11,8.76543E+13,1.16E-03,1.16E-01
12/31/2018,55395611392,6426181029,61821792421,2018,1.39079,8.60E+10,8.62096E+13,9.97E-04,9.97E-02
12/31/2017,39585385873,6522280669,46107666542,2017,1.42413,6.57E+10,8.10362E+13,8.10E-04,8.10E-02
12/31/2016,49267630851,6482647937,55750278788,2016,1.34433,7.49E+10,7.62113E+13,9.83E-04,9.83E-02
12/31/2015,50757840741,6575911158,57333751899,2015,1.38573,7.94E+10,7.49445E+13,1.06E-03,1.06E-01
12/31/2014,69041563463,6292755583,75334319046,2014,1.44881,1.09E+11,7.9429E+13,1.37E-03,1.37E-01
12/31/2013,83899249061,6174392682,90073641743,2013,1.54,1.39E+11,7.73655E+13,1.79E-03,1.79E-01
12/31/2012,90042348252,5766292503,95808640755,2012,1.53692,1.47E+11,7.51967E+13,1.96E-03,1.96E-01
12/31/2011,87276915790,5308609594,92585525384,2011,1.53527,1.42E+11,7.37735E+13,1.93E-03,1.93E-01
12/31/2010,55620104510,4819344134,60439448644,2010,1.54003,9.31E+10,6.64845E+13,1.40E-03,1.40E-01
12/31/2009,37221142436,5079705286,42300847722,2009,1.56769,6.63E+10,6.07821E+13,1.09E-03,1.09E-01
12/31/2008,17514964723,3972372030,21487336753,2008,1.54027,3.31E+10,6.41625E+13,5.16E-04,5.16E-02
12/31/2007,6036146757,3796945581,9833092338,2007,1.58025,1.55E+10,5.84619E+13,2.66E-04,2.66E-02
12/31/2006,9822640239,3844020520,13666660759,2006,1.5044,2.06E+10,5.17833E+13,3.97E-04,3.97E-02
12/31/2005,28432143237,6282121668,34714264905,2005,1.42927,4.96E+10,4.78114E+13,1.04E-03,1.04E-01
12/31/2004,55373766674,6766029353,62139796027,2004,1.55301,9.65E+10,4.41344E+13,2.19E-03,2.19E-01
12/31/2003,65032062712,6880893268,71912955980,2003,1.48597,1.07E+11,3.92102E+13,2.73E-03,2.73E-01
12/31/2002,63601058794,6868671012,70469729806,2002,1.35952,9.58E+10,3.49155E+13,2.74E-03,2.74E-01
12/31/2001,53477225409,6424578684,59901804093,2001,1.25673,7.53E+10,3.3801E+13,2.23E-03,2.23E-01
12/31/2000,42990531049,6331595468,49322126517,2000,1.30291,6.43E+10,3.40531E+13,1.89E-03,1.89E-01
12/31/1999,51061861875,6434274362,57496136237,1999,1.37251,7.89E+10,3.29603E+13,2.39E-03,2.39E-01
12/31/1998,60451017051,6288825925,66739842976,1998,1.40677,9.39E+10,3.1835E+13,2.95E-03,2.95E-01
12/31/1997,46559033783,6009867422,52568901205,1997,1.34925,7.09E+10,3.19909E+13,2.22E-03,2.22E-01
12/31/1996,36127472805,5881609752,42009082557,1996,1.43796,6.04E+10,3.20792E+13,1.88E-03,1.88E-01
12/31/1995,35929173412,5657438528,41586611940,1995,1.48649,6.18E+10,3.12115E+13,1.98E-03,1.98E-01
12/31/1994,25611676952,4599768498,30211445450,1994,1.45985,4.41E+10,2.79983E+13,1.58E-03,1.58E-01
12/31/1993,25196745031,3942792899,29139537930,1993,1.37356,4.00E+10,2.60511E+13,1.54E-03,1.54E-01
12/31/1992,23967172718,3804463796,27771636514,1992,1.375,3.82E+10,2.53391E+13,1.51E-03,1.51E-01
12/31/1991,23378573926,3285717796,26664291722,1991,1.43043,3.81E+10,2.4504E+13,1.56E-03,1.56E-01
12/31/1990,20731851093,2571911617,23303762710,1990,1.42266,3.32E+10,2.36633E+13,1.40E-03,1.40E-01
12/31/1989,22315104224,2334886562,24649990786,1989,1.31416,3.24E+10,2.01278E+13,1.61E-03,1.61E-01
12/31/1988,24750004884,1773964293,26523969177,1988,1.3457,3.57E+10,1.91314E+13,1.87E-03,1.87E-01
12/31/1987,28751979125,1866342930,30618322055,1987,1.41866,4.34E+10,1.7013E+13,2.55E-03,2.55E-01
12/31/1986,33334905644,2013169931,35348075575,1986,1.22319,4.32E+10,1.47761E+13,2.93E-03,2.93E-01
12/31/1985,35194787249,2470247948,37665035197,1985,1.09842,4.14E+10,1.2531E+13,3.30E-03,3.30E-01
12/31/1984,34936772393,2769874900,37706647293,1984,0.980205,3.70E+10,1.20017E+13,3.08E-03,3.08E-01